Number ,Artist ,Title,Style,Year,"Source (1 = classical, 2 = modern, 3 = nonhuman)","computerOrAnimal (0 = human, 1 = computer, 2 = animal)","Intent (0 = no, 1 = yes)"
73,Computer,Spiral ,Abstract,2017,3,1,0
74,Computer,Dress,Abstract,2017,3,1,0
75,Computer,Scream,Abstract,2017,3,1,0
76,Computer,Nest,Abstract,2017,3,1,0
77,Computer,Splatter,Abstract,2017,3,1,0
78,Computer,Heidegger,Abstract,2017,3,1,1
79,Computer,Tunnel,Abstract,2017,3,1,1
80,Computer,Volcano,Abstract,2017,3,1,1
81,Computer,Confidence,Abstract,2017,3,1,1
82,Computer,Tracking,Abstract,2017,3,1,1
83,Computer,Lines,Abstract,2017,3,1,1
84,Computer,Boxes,Abstract ,2017,3,1,1
85,Insect 1,Untitled,Abstract,2017,3,2,0
86,Insect 2,Untitled,Abstract,2017,3,2,0
87,Turtle,Untitled,Abstract,2017,3,2,0
88,Snake,Untitled,Abstract,2017,3,2,0
89,Hippo,Untitled,Abstract,2017,3,2,0
90,Rhino,Untitled,Abstract,2017,3,2,0
91,Chimp,Untitled,Abstract,2017,3,2,0
